<<<<<<< HEAD
jurisdiction,year,murder_rate,rape_rate,robbery_rate,agg_rate,"MURDER  RATE PERCENT CHANGE PER 100,000 PEOPLE","RAPE RATE PERCENT CHANGE PER 100,000 PEOPLE","ROBBERY RATE PERCENT CHANGE PER 100,000 PEOPLE","AGG. ASSAULT  RATE PERCENT CHANGE PER 100,000 PEOPLE"
Wyoming,2008,1.9,33.8,16.1,180.2,-38.7,10.4,0.5,-4.9
Wyoming,2009,2.4,33.8,14.1,177.9,27.2,0,-12.4,-1.3
Wyoming,2010,1.4,29.1,13.5,151.9,-40.6,-13.9,-4.7,-14.6
Wyoming,2011,3.2,25.7,12.5,177.9,123.2,-11.7,-7.3,17.2
Wyoming,2012,2.4,26.7,10.6,161.7,-23.3,4,-15.3,-9.1
Wyoming,2013,2.9,24.7,12.9,157.2,20.1,-7.5,21.6,-2.8
Wyoming,2014,2.7,21.6,9.1,153.9,-6.1,-12.7,-29.5,-2.1
Wyoming,2015,2.7,21.3,10.1,179.8,-0.3,-1.1,10.9,16.9
Wyoming,2016,3.4,25.6,10.1,195.7,25.1,20.1,0.1,8.8
Wyoming,2017,2.6,45.4,13.1,176.4,-24.2,77.2,30.2,-9.9
Wyoming,2018,2.3,42.1,17.3,150.6,-13.1,-7.4,31.9,-14.6
Wyoming,2019,2.2,56,11.6,147.6,-0.2,33.1,-33.1,-2
=======
jurisdiction,year,murder_rate,rape_rate,robbery_rate,agg_rate,"MURDER  RATE PERCENT CHANGE PER 100,000 PEOPLE","RAPE RATE PERCENT CHANGE PER 100,000 PEOPLE","ROBBERY RATE PERCENT CHANGE PER 100,000 PEOPLE","AGG. ASSAULT  RATE PERCENT CHANGE PER 100,000 PEOPLE"
Alabama,2006,8.3,35.9,153.5,227.6,,,,
Alabama,2007,8.9,33.4,159.9,245.8,7.2,-6.9,4.1,8
Alabama,2008,7.6,34.7,157.6,253,-14.9,3.9,-1.4,2.9
Alabama,2009,6.9,31.9,132.9,278.1,-9.4,-7.9,-15.6,9.9
Alabama,2010,5.7,28.2,99.6,244.2,-16.7,-11.6,-25.1,-12.2
Alabama,2011,6.3,28.5,102.2,283,9.7,1.1,2.6,15.9
Alabama,2012,7.1,26.9,104.1,311.8,13.2,-5.8,1.8,10.2
Alabama,2013,7.2,29.5,96.2,285.2,1.2,9.9,-7.6,-8.5
Alabama,2014,5.7,29.6,96.9,283.4,-20.7,0.2,0.8,-0.6
Alabama,2015,7.2,30,94.9,328.3,25.8,1.2,-2.1,15.8
Alabama,2016,8.4,28.5,96.4,388.2,16.9,-5,1.5,18.2
Alabama,2017,8.3,41.6,86.5,387.8,-1,46.1,-10.2,-0.1
Alabama,2018,7.8,40.8,83.4,387.6,-5.5,-1.8,-3.6,0
Alabama,2019,7.3,42.2,80.4,381,-6.8,3.3,-3.6,-1.7
Alaska,2006,5.4,76,90.3,516.4,,,,
Alaska,2007,6.4,77.4,85.3,492,19.8,1.9,-5.5,-4.7
Alaska,2008,4.1,64.3,94,489.6,-36.6,-17,10.2,-0.5
Alaska,2009,3.1,73.3,93.8,462.7,-22.8,14.1,-0.2,-5.5
Alaska,2010,4.4,75,83.6,475.8,38.6,2.4,-10.8,2.8
Alaska,2011,4,58.1,79.7,464.6,-8.1,-22.6,-4.7,-2.3
Alaska,2012,4.1,79.7,86.1,433.2,2.2,37.2,8.1,-6.8
Alaska,2013,4.6,87.6,84.9,425.5,12.8,9.9,-1.4,-1.8
Alaska,2014,5.6,75.3,85.4,440.2,20.3,-14,0.6,3.5
Alaska,2015,8,88,103.1,497.1,43.6,16.8,20.7,12.9
Alaska,2016,7,102,114.6,540.6,-12.3,15.9,11.2,8.8
Alaska,2017,8.4,116.7,128.5,575.4,19.6,14.3,12.2,6.4
Alaska,2018,6.4,161.6,121.5,595.4,-24,38.6,-5.5,3.5
Alaska,2019,9.4,148.7,112.9,596,48,-8,-7.1,0.1
Arizona,2006,7.5,31.5,149.6,312.7,,,,
Arizona,2007,7.4,29.3,151.7,294.3,-2.1,-7,1.4,-5.9
Arizona,2008,6.3,25.7,149.2,265.9,-15.2,-12.1,-1.7,-9.7
Arizona,2009,5.4,32,122.8,248.1,-14.3,24.3,-17.7,-6.7
Arizona,2010,6.4,33.9,108.5,259.3,19.2,5.9,-11.6,4.5
Arizona,2011,6.2,34.9,109.9,254.8,-2.4,3.1,1.3,-1.7
Arizona,2012,5.5,34.7,112.7,276,-12.6,-0.5,2.5,8.3
Arizona,2013,5.4,35.4,101.1,263.9,-1.4,1.8,-10.3,-4.4
Arizona,2014,4.7,36.6,92.8,252.1,-12,3.5,-8.2,-4.5
Arizona,2015,4.5,33.6,93.1,267.1,-4.5,-8.2,0.3,5.9
Arizona,2016,5.5,35.4,101.8,315.4,21.1,5.3,9.3,18.1
Arizona,2017,5.9,51,106,345,8.1,44.3,4.2,9.4
Arizona,2018,5.1,50.7,91,328.1,-13.2,-0.6,-14.2,-4.9
Arizona,2019,5,50.3,88.1,311.9,-2.5,-0.8,-3.2,-4.9
Arkansas,2006,7.3,46.5,98.4,399.4,,,,
Arkansas,2007,6.7,44.7,106.7,371.2,-7.6,-3.9,8.4,-7.1
Arkansas,2008,5.7,48.9,95.8,353.1,-15.8,9.2,-10.2,-4.9
Arkansas,2009,6.2,47.3,89.4,374.8,9.2,-3.1,-6.7,6.2
Arkansas,2010,4.7,45,81.3,374.3,-23.6,-5,-9,-0.1
Arkansas,2011,5.5,41.3,82.6,351.5,16.5,-8.2,1.6,-6.1
Arkansas,2012,5.9,42.3,78.7,342.3,6.4,2.4,-4.8,-2.6
Arkansas,2013,5.4,33.6,76.3,330.5,-8.4,-20.6,-3,-3.4
Arkansas,2014,5.6,39.8,69.1,346,3.5,18.8,-9.4,4.7
Arkansas,2015,6.1,43.7,70.4,380,9.3,9.5,1.9,9.8
Arkansas,2016,7.2,51.7,70.9,401,18.9,18.4,0.7,5.5
Arkansas,2017,8.6,68.3,64.4,413.6,18.8,32.2,-9.2,3.1
Arkansas,2018,7.2,72.9,52.9,410.7,-16.5,6.6,-17.9,-0.7
Arkansas,2019,8,77.2,51.6,447.8,11.9,6,-2.4,9
California,2006,6.8,25.3,194.7,305.7,,,,
California,2007,6.2,24.7,193,298.8,-9.3,-2.4,-0.9,-2.3
California,2008,5.8,24.2,188.8,285,-5.7,-1.8,-2.2,-4.6
California,2009,5.3,23.6,173.4,269.7,-8.4,-2.7,-8.1,-5.4
California,2010,4.9,22.4,156,257.4,-9,-5.1,-10,-4.6
California,2011,4.8,20.3,144,242,-2.1,-9.1,-7.7,-6
California,2012,5,20.6,148.6,248.9,4.2,1.3,3.1,2.9
California,2013,4.6,19.5,139.9,232.3,-8,-5.5,-5.8,-6.7
California,2014,4.4,21.6,125.5,236.6,-3.9,11.2,-10.3,1.9
California,2015,4.8,24,135,253.8,8.6,10.8,7.6,7.3
California,2016,4.9,25.9,139.6,265.9,3.4,7.8,3.4,4.8
California,2017,4.6,37.2,143.2,264.2,-5.9,44,2.6,-0.6
California,2018,4.4,39.2,137.3,266.5,-5,5.3,-4.1,0.9
California,2019,4.3,37.5,132.4,267.1,-2.7,-4.4,-3.6,0.2
Colorado,2006,3.3,43.7,80.7,264,,,,
Colorado,2007,3.1,41.1,71,232.5,-5.3,-5.9,-12,-11.9
Colorado,2008,3.2,42.5,68.1,229.3,1,3.3,-4.1,-1.4
Colorado,2009,3.5,44.6,67.4,222.3,9.6,5,-1.1,-3
Colorado,2010,2.4,43.7,62.3,212.4,-31.5,-2,-7.6,-4.5
Colorado,2011,2.9,44.5,64.6,208.1,22,1.9,3.7,-2
Colorado,2012,3.1,40.7,65.4,199.6,7.2,-8.5,1.3,-4.1
Colorado,2013,3.4,38.9,59.8,189.1,8.2,-4.5,-8.6,-5.2
Colorado,2014,2.8,39.6,56.7,192.8,-16.6,1.8,-5.1,1.9
Colorado,2015,3.2,43.6,60.9,197.2,14.4,10,7.3,2.3
Colorado,2016,3.7,47.3,63.7,211.1,14.2,8.5,4.6,7.1
Colorado,2017,3.9,68.8,68.4,226.9,7,45.6,7.5,7.5
Colorado,2018,3.7,71.5,66.7,255.4,-6.5,3.9,-2.6,12.6
Colorado,2019,3.8,67.2,63.6,246.3,2.7,-5.9,-4.6,-3.6
Connecticut,2006,3.1,18.1,121,138.6,,,,
Connecticut,2007,3,18.8,103,131.2,-1.8,3.5,-14.9,-5.3
Connecticut,2008,3.5,19.3,111.6,163.5,16.1,2.5,8.3,24.6
Connecticut,2009,3,18.5,113.4,163.7,-13.4,-3.9,1.6,0.2
Connecticut,2010,3.6,16.3,99.4,162,19.6,-11.8,-12.3,-1
Connecticut,2011,3.6,19.2,102.7,147.3,-1.7,17.4,3.3,-9.1
Connecticut,2012,4.1,25.6,102.7,150.6,13.8,33.6,0,2.2
Connecticut,2013,2.4,18.6,98.2,135.4,-41.2,-27.4,-4.4,-10.1
Connecticut,2014,2.4,15.9,87.8,125,0,-14.5,-10.5,-7.7
Connecticut,2015,3.3,16.2,80.5,113.1,36.3,2.1,-8.3,-9.5
Connecticut,2016,2.2,15.7,75.6,128,-33.1,-3.2,-6.2,13.2
Connecticut,2017,2.8,23.3,78.4,123.4,30.3,48.7,3.7,-3.6
Connecticut,2018,2.3,23.5,61.4,120.2,-18.3,0.8,-21.7,-2.6
Connecticut,2019,2.9,21.6,54.1,105,25.6,-8,-11.9,-12.7
Delaware,2006,4.9,46.9,203.3,426.5,,,,
Delaware,2007,4.3,38.9,197.3,448.8,-13.1,-17.1,-3,5.2
Delaware,2008,6.5,41.9,210.5,444.4,52.6,7.9,6.7,-1
Delaware,2009,4.6,38.2,188.8,405,-29,-8.9,-10.3,-8.9
Delaware,2010,5.3,34.7,203.7,377.1,15.4,-9,7.9,-6.9
Delaware,2011,4.5,31.9,169.5,353.5,-15.4,-8.3,-16.8,-6.2
Delaware,2012,6.2,26.5,162.7,352,37.5,-16.8,-4,-0.4
Delaware,2013,4.2,28.7,132.4,313.7,-32.2,8.4,-18.6,-10.9
Delaware,2014,5.8,26.6,135.6,306.4,37,-7.4,2.4,-2.3
Delaware,2015,6.7,25.7,130.6,325.7,15.4,-3.5,-3.7,6.3
Delaware,2016,5.9,23.2,142.7,327.8,-11.7,-9.6,9.3,0.6
Delaware,2017,5.6,34.7,112.5,300.5,-4.6,49.6,-21.2,-8.3
Delaware,2018,5,34.9,89.5,294.2,-11.6,0.7,-20.4,-2.1
Delaware,2019,4.9,31.8,81.1,304.7,-0.7,-8.9,-9.4,3.6
Florida,2006,6.2,35.8,188.8,481.2,,,,
Florida,2007,6.6,33.7,209.1,473.2,5.4,-5.8,10.8,-1.7
Florida,2008,6.4,32.6,197.9,452,-3.2,-3.3,-5.3,-4.5
Florida,2009,5.5,29.7,166.7,410.6,-13.9,-8.9,-15.7,-9.2
Florida,2010,5.2,28.6,138.7,369.8,-4.3,-3.7,-16.8,-9.9
Florida,2011,5.2,27.7,134.4,348,-1.6,-3.2,-3.1,-5.9
Florida,2012,5.2,27.2,123.7,330.9,1.2,-1.6,-8,-4.9
Florida,2013,5,24.1,118.7,312.3,-4.8,-11.3,-4.1,-5.6
Florida,2014,5.8,30.4,125.2,366.4,16.2,26,5.6,17.4
Florida,2015,5.1,26.8,104.3,315.2,-11.1,-11.9,-16.7,-14
Florida,2016,5.4,26.8,97.9,290.2,5,0.1,-6.1,-7.9
Florida,2017,5,37.8,88.6,276.5,-6.5,41.1,-9.5,-4.7
Florida,2018,5.2,39.6,79.3,260.8,3.2,4.7,-10.6,-5.7
Florida,2019,5.2,39.4,75.5,258.3,0.5,-0.6,-4.7,-1
Georgia,2006,6.4,23.2,165.6,275.8,,,,
Georgia,2007,7.5,22.8,181.7,281.2,17.4,-1.7,9.7,2
Georgia,2008,6.6,22.7,179.2,270.5,-12.7,-0.7,-1.4,-3.8
Minnesota,2006,2.4,31.8,105.1,172.6,,,,
Georgia,2009,5.8,23.4,148.6,248.3,-12.3,3.3,-17.1,-8.2
Georgia,2010,5.8,21.6,127.7,248.2,0,-7.7,-14,0
Georgia,2011,5.6,20.9,123.8,222.9,-2,-3.2,-3.1,-10.2
Georgia,2012,5.9,21.4,125.6,226,3.8,2.4,1.5,1.4
Georgia,2013,5.6,19.9,125,209.3,-5,-7.3,-0.5,-7.4
Georgia,2014,5.7,21.4,123,218.4,3.2,7.7,-1.6,4.3
Georgia,2015,6,22.5,119.9,220.8,4.8,5.1,-2.5,1.1
Georgia,2016,6.6,24.5,118.4,238.5,9.7,9.1,-1.3,8
Georgia,2017,6.7,26.1,96.3,228.1,2.1,6.3,-18.6,-4.4
Georgia,2018,6.1,25.2,78.7,216.6,-9.5,-3.3,-18.3,-5.1
Georgia,2019,6.2,27.5,75,232,0.9,9.2,-4.7,7.1
Hawaii,2006,1.6,27.6,88.9,163,,,,
Hawaii,2007,1.7,25.4,86.1,159.6,4.9,-8,-3.2,-2.1
Hawaii,2008,1.9,28.3,84.3,158.1,13.2,11.5,-2.1,-1
Hawaii,2009,1.7,30.3,79.8,163,-12.5,6.8,-5.3,3.1
Hawaii,2010,1.8,26.8,77.5,156.7,3.9,-11.3,-2.9,-3.9
Hawaii,2011,1.2,31.6,75.8,178.6,-29.9,17.6,-2.2,14
Hawaii,2012,2.1,20.5,74.7,141.9,68.4,-35.2,-1.4,-20.6
Hawaii,2013,1.5,21.1,80.6,142.2,-28.2,3,7.8,0.2
Hawaii,2014,1.8,22.1,78,148.1,22.5,4.9,-3.2,4.2
Hawaii,2015,1.3,27.9,84,168.9,-27.5,26.3,7.8,14.1
Hawaii,2016,2.5,31.3,69.6,193.8,84.6,12,-17.2,14.8
Hawaii,2017,2.7,39.7,75.4,132.7,11.5,26.9,8.4,-31.6
Hawaii,2018,2.5,44,66.6,135.5,-7.2,10.8,-11.7,2.1
Hawaii,2019,3.4,54,79.9,148.2,33.8,22.8,19.9,9.3
Idaho,2006,2.5,40,20.5,184.2,,,,
Idaho,2007,3.3,38.5,15.5,182,33.1,-3.7,-24.3,-1.2
Idaho,2008,1.5,36.2,15.8,175.1,-53.8,-6.2,1.8,-3.8
Idaho,2009,1.4,35.7,15.8,175.4,-5.7,-1.2,0.2,0.2
Idaho,2010,1.3,33.5,13.7,172.6,-5.9,-6.2,-13.9,-1.6
Idaho,2011,2.3,27.4,11.6,159.6,69.5,-18.1,-15,-7.5
Idaho,2012,1.8,30,15.2,160.9,-20,9.4,31.2,0.8
Idaho,2013,1.7,28.3,13.6,161,-7.8,-5.6,-10.4,0.1
Idaho,2014,2,28.6,12.5,160.5,16.9,1,-8.5,-0.3
Idaho,2015,1.9,32.2,11.6,160.1,-1.2,12.5,-7,-0.2
Idaho,2016,2.9,31.4,12.7,172,50.6,-2.4,9.1,7.4
Idaho,2017,1.9,41.2,11.4,172,-36,31,-9.8,0
Idaho,2018,2,45.1,11.4,168.6,7.1,9.5,-0.1,-2
Idaho,2019,2,45.3,8.7,167.9,-1.8,0.4,-23.9,-0.4
Illinois,2006,6.1,31.8,185.3,318.4,,,,
Illinois,2007,5.9,31.9,179.7,315.7,-3.7,0.5,-3,-0.9
Illinois,2008,6.1,31.9,186.4,300.9,4.7,0,3.7,-4.7
Illinois,2009,6,30.2,177.6,283.4,-2.2,-5.3,-4.8,-5.8
Illinois,2010,5.5,23.6,156.3,249.7,-8.1,-21.8,-12,-11.9
Illinois,2011,5.6,28.8,157.4,237.5,1.8,21.9,0.7,-4.9
Illinois,2012,5.8,27.7,151.2,230,3.1,-3.8,-3.9,-3.1
Illinois,2013,5.5,25.4,137.6,204,-5.2,-8.3,-9,-11.3
Illinois,2014,5.3,23.9,118.8,213.7,-3,-5.9,-13.7,4.7
Illinois,2015,5.8,27.6,115.9,224.6,8.8,15.4,-2.4,5.1
Illinois,2016,8.2,28.4,139.3,250.5,42.3,2.9,20.1,11.5
Illinois,2017,7.8,43.4,137.2,250.4,-5.4,52.8,-1.5,0
Illinois,2018,6.9,46,111.5,239.7,-10.9,6,-18.7,-4.3
Illinois,2019,6.6,48,98.4,254,-5.4,4.3,-11.8,6
Indiana,2006,5.8,29.1,114.7,165.2,,,,
Indiana,2007,5.6,27.5,124.1,176.4,-4,-5.5,8.1,6.8
Indiana,2008,5.1,27,118.1,183.5,-8.6,-1.8,-4.8,4
Indiana,2009,4.8,25.5,114.5,188.4,-5.9,-5.3,-3.1,2.7
Indiana,2010,4.5,27.2,95.9,186.9,-6.7,6.4,-16.2,-0.8
Indiana,2011,4.8,27,107.1,193,6.3,-0.7,11.6,3.3
Indiana,2012,4.7,25.5,100.9,214.6,-1,-5.4,-5.7,11.2
Indiana,2013,5.4,25,108.2,211.3,13.9,-1.8,7.2,-1.5
Indiana,2014,5,24.5,104.5,222.6,-7.4,-2.3,-3.4,5.4
Indiana,2015,5.6,27,107.4,238.2,12.6,10.4,2.7,7
Indiana,2016,6.6,27.9,110.5,249.9,17.5,3.3,2.9,4.9
Indiana,2017,6,39.4,99,254.6,-10,41.1,-10.4,1.9
Indiana,2018,6.5,35.4,88.7,251.6,9.9,-10.1,-10.4,-1.2
Indiana,2019,5.6,36.8,79.2,249.3,-14.4,3.8,-10.8,-0.9
Iowa,2006,1.8,27.8,43.5,210.4,,,,
Iowa,2007,1.2,30.3,43.9,219.2,-32.9,9,1,4.2
Iowa,2008,2.5,29.6,41.6,210.1,104.4,-2.2,-5.4,-4.2
Iowa,2009,1.1,28.4,39.7,210,-55.3,-4.1,-4.4,-0.1
Iowa,2010,1.3,27.4,33.2,211.6,13.3,-3.2,-16.5,0.8
Iowa,2011,1.5,27.2,26.9,199.9,17.3,-0.8,-18.8,-5.6
Iowa,2012,1.5,28.3,31.3,202.8,-2.6,4,16.2,1.5
Iowa,2013,1.4,24.5,30.4,204.6,-4.9,-13.5,-2.9,0.9
Iowa,2014,1.9,26.6,33.6,201.6,38.8,8.8,10.7,-1.5
Iowa,2015,2.3,27.2,33.5,213.2,19.4,2.2,-0.3,5.8
Iowa,2016,2.3,29.4,36.6,212,-1.7,8,9.3,-0.6
Iowa,2017,3.3,39.2,39.8,211,46,33.4,8.8,-0.4
Iowa,2018,1.7,30.9,29.5,187.9,-48.2,-21.2,-25.9,-11
Iowa,2019,1.9,36.9,27.4,200.4,11.1,19.3,-7.4,6.6
Kansas,2006,4.6,44.8,67.9,307.7,,,,
Kansas,2007,3.9,44.3,72.6,331.8,-16.1,-1,6.9,7.8
Kansas,2008,4,42.5,60.1,304,4.6,-4.2,-17.2,-8.4
Kansas,2009,4.2,38.9,63.4,293.6,4.7,-8.4,5.4,-3.4
Kansas,2010,3.5,38.8,54.1,272.7,-17,-0.2,-14.6,-7.1
Kansas,2011,3.8,37.8,50.8,261.5,9.3,-2.6,-6.1,-4.1
Kansas,2012,2.9,36.5,52,263.2,-24,-3.4,2.3,0.6
Kansas,2013,3.9,28.9,46.6,248.1,33,-20.9,-10.3,-5.7
Kansas,2014,3.1,37,46.9,250,-19,28.3,0.5,0.7
Kansas,2015,4.4,43,62.4,267.6,40.3,16.1,33.1,7.1
Kansas,2016,3.8,33.4,57.5,274,-13.2,-22.3,-7.9,2.4
Kansas,2017,5.5,55.9,61.3,290.3,43.9,67.2,6.6,6
Kansas,2018,3.9,53.8,53,328.3,-29.3,-3.6,-13.5,13.1
Kansas,2019,3.6,48.6,44.4,314.2,-7.1,-9.7,-16.3,-4.3
Kentucky,2006,4,30.8,86.2,142,,,,
Kentucky,2007,4.8,32.6,95.9,161.7,20.4,5.6,11.3,13.9
Kentucky,2008,4.6,33,93.8,164.8,-3.6,1.3,-2.2,1.9
Kentucky,2009,4.1,35,84.1,135.4,-11,6.1,-10.3,-17.8
Kentucky,2010,4.3,31.8,86.4,120.1,4.4,-9,2.7,-11.3
Kentucky,2011,3.5,33.5,84.5,116.7,-18.7,5.2,-2.1,-2.9
Kentucky,2012,4.5,29,80.7,108.4,27.1,-13.3,-4.5,-7
Kentucky,2013,3.8,25.6,73.9,95.5,-14.6,-11.8,-8.5,-11.9
Kentucky,2014,3.6,20,75.6,99.8,-4.6,-21.9,2.3,4.5
Kentucky,2015,4.7,22.5,74.7,105.5,30.3,12.6,-1.1,5.7
Kentucky,2016,5.9,26.5,75.9,113.5,24.1,17.4,1.6,7.6
Kentucky,2017,5.9,37.3,66.4,116.2,0.8,40.9,-12.5,2.3
Kentucky,2018,5.5,38.2,55,113.2,-7.5,2.4,-17.2,-2.5
Kentucky,2019,4.9,35.2,48.4,128.6,-9.4,-7.9,-12,13.6
Louisiana,2006,12.4,36.4,133.6,515.4,,,,
Louisiana,2007,14.2,32.4,141.7,541.2,14.6,-10.9,6,5
Louisiana,2008,11.9,27.9,135.9,480.4,-15.6,-13.9,-4.1,-11.2
Louisiana,2009,11.8,30.3,135.9,442,-1.3,8.3,0,-8
Louisiana,2010,11.2,27.2,114.9,395.6,-4.7,-10.1,-15.4,-10.5
Louisiana,2011,11.2,27.7,114.5,401.9,-0.3,1.9,-0.4,1.6
Louisiana,2012,10.8,25.2,119,342,-4.1,-9.2,3.9,-14.9
Louisiana,2013,10.8,26.9,119.9,352.8,0.1,6.9,0.8,3.2
Louisiana,2014,10.3,21.3,122.5,352.4,-4.7,-20.7,2.1,-0.1
Louisiana,2015,10.3,27,118.8,373.7,0.4,26.4,-3,6
Louisiana,2016,11.8,28.4,119.1,396.4,14.9,5.2,0.2,6.1
Louisiana,2017,12.4,39.9,114.4,390.3,5,40.5,-4,-1.5
Louisiana,2018,11.4,44.7,98,383.4,-8.5,12.3,-14.3,-1.8
Louisiana,2019,11.7,48.9,86.6,402.1,2.9,9.3,-11.7,4.9
Maine,2006,1.7,25.7,29.1,59,,,,
Maine,2007,1.6,29.7,26.5,60.2,-8.4,15.7,-8.8,2
Maine,2008,2.4,28.5,25.3,61.4,47.7,-4,-4.5,1.9
Maine,2009,2,28.5,30.3,59,-16.2,0.1,19.7,-3.8
Maine,2010,1.8,29.3,31.2,59.8,-8.4,2.7,3,1.3
Maine,2011,2,29.6,27.8,63.8,8.3,1,-10.9,6.8
Maine,2012,1.9,28,31.8,61,-3.9,-5.4,14.5,-4.4
Maine,2013,1.8,25.9,25.2,68.7,-3.9,-7.5,-20.8,12.5
Maine,2014,1.6,27.1,22.9,66.9,-12.6,4.5,-9.4,-2.5
Maine,2015,1.7,26.6,23.4,69.3,9.6,-1.6,2.4,3.5
Maine,2016,1.5,22.5,20,71.3,-13.2,-15.4,-14.6,3
Maine,2017,1.7,35.4,18.6,65.3,14.6,57.1,-6.7,-8.5
Maine,2018,1.8,33.3,17,60,4.2,-5.9,-8.6,-8.1
Maine,2019,1.5,38.4,14,61.3,-17,15.2,-17.9,2.2
Maryland,2006,9.7,21,256,392,,,,
Maryland,2007,9.9,21,236,375.1,1.2,0,-7.8,-4.3
Maryland,2008,8.8,20,234.4,365.1,-11.3,-4.7,-0.7,-2.7
Maryland,2009,7.7,20.3,210.7,351.3,-11.8,1.4,-10.1,-3.8
Maryland,2010,7.4,21.3,191.4,327.3,-4.6,4.9,-9.1,-6.8
Maryland,2011,6.8,20.5,177.4,289.4,-7.2,-3.5,-7.3,-11.6
Maryland,2012,6.3,21,172.8,277,-7.4,2.4,-2.6,-4.3
Maryland,2013,6.5,19.7,170.1,271.3,3.3,-6.1,-1.6,-2.1
Maryland,2014,6.1,19.1,161.5,254.6,-6.9,-2.9,-5,-6.1
Maryland,2015,9.2,29.3,169,263.9,51.6,52.9,4.6,3.7
Maryland,2016,8.9,30.2,179.7,263.1,-3.6,3.1,6.4,-0.3
Maryland,2017,9.4,29.3,186.6,281.7,5.9,-2.9,3.8,7.1
Maryland,2018,8.1,34.9,161.4,269.6,-13.9,19,-13.5,-4.3
Maryland,2019,9,31.6,152.2,261.3,10.8,-9.2,-5.7,-3.1
Massachusetts,2006,2.9,27.1,125,249.8,,,,
Massachusetts,2007,2.9,25.3,108.6,294.7,-1.3,-6.4,-13.1,18
Massachusetts,2008,2.6,26.7,108.8,310.9,-9.9,5.5,0.2,5.5
Massachusetts,2009,2.6,25.8,112.6,316,1.5,-3.4,3.5,1.6
Massachusetts,2010,3.2,26.7,105,331.8,22.9,3.3,-6.8,5
Massachusetts,2011,2.8,24.7,102.7,298.1,-12.4,-7.3,-2.1,-10.1
Massachusetts,2012,1.8,24.7,98.6,280.4,-35.2,0,-4,-5.9
Massachusetts,2013,2,31.2,100.2,270.5,12.4,26.3,1.6,-3.5
Massachusetts,2014,2,24.1,89.5,267.6,-4.4,-22.6,-10.7,-1.1
Massachusetts,2015,1.9,23.7,77.8,280.7,-3.7,-2,-13,4.9
Massachusetts,2016,2,23.4,78.8,265,4.4,-1.2,1.2,-5.6
Massachusetts,2017,2.5,32,71,252.5,28.2,37,-9.8,-4.7
Massachusetts,2018,2,34.9,60,274.3,-21.9,9,-15.5,8.6
Massachusetts,2019,2.2,32,52.4,241,11.9,-8.4,-12.7,-12.2
Michigan,2006,7.1,52.2,140.7,362.4,,,,
Michigan,2007,6.7,45.5,133.2,350.7,-5,-12.9,-5.4,-3.2
Michigan,2008,5.4,45,129.6,321.5,-19.3,-1,-2.7,-8.3
Michigan,2009,6.3,45.3,123.7,321.7,16.1,0.6,-4.6,0.1
Michigan,2010,5.7,47.3,116.3,321,-8.8,4.4,-6,-0.2
Michigan,2011,6.2,44,105.2,289.9,8.2,-6.9,-9.5,-9.7
Michigan,2012,7,46.4,105.6,295.5,12.3,5.5,0.3,2
Michigan,2013,6.4,46.5,102.1,274.8,-8.5,0.2,-3.3,-7
Michigan,2014,5.4,40.9,80.9,277.7,-15.3,-12.2,-20.7,1
Michigan,2015,5.8,42,78.6,266.2,6.6,2.7,-2.9,-4.1
Michigan,2016,6,51.5,71.7,309.5,4.7,22.8,-8.7,16.3
Michigan,2017,5.7,70.6,65.1,308.5,-5.2,37,-9.2,-0.3
Michigan,2018,5.5,76.9,56.6,924.5,-3.5,9,-13.1,199.6
Michigan,2019,5.6,72.4,53.6,305.9,1,-5.8,-5.3,-66.9
Minnesota,2007,2.2,36,91.8,158.6,-7.7,13.2,-12.7,-8.1
Minnesota,2008,2.1,34.6,80,146.1,-6.4,-4.1,-12.8,-7.9
Minnesota,2009,1.4,34,68.7,139.8,-32.7,-1.7,-14.1,-4.3
Minnesota,2010,1.8,33.9,63.9,136.4,28.8,-0.2,-7,-2.4
Minnesota,2011,1.4,31.1,63.4,125.4,-23.5,-8.2,-0.8,-8.1
Minnesota,2012,1.8,30.5,64.6,134,32.9,-2.2,2,6.9
Minnesota,2013,2.1,25.9,67.8,127.5,14.3,-15,4.9,-4.9
Minnesota,2014,1.6,26.6,67.6,123.3,-23.3,2.8,-0.3,-3.3
Minnesota,2015,2.4,30.7,68.7,129.2,50.2,15.4,1.7,4.8
Minnesota,2016,1.8,31.4,67.5,130.7,-24.5,2.1,-1.7,1.2
Minnesota,2017,2,42.8,64.9,128.6,10.7,36.4,-3.9,-1.6
Minnesota,2018,1.9,43.9,52.5,216.5,-6.8,2.6,-19.2,68.3
Minnesota,2019,2.1,43.4,55.8,135.1,9.8,-1.1,6.4,-37.6
Mississippi,2006,7.7,34.4,107.1,149.5,,,,
Mississippi,2007,7.1,35.6,98.2,150.3,-7,3.7,-8.3,0.6
Mississippi,2008,8.1,30.3,102.6,143.9,13.2,-15,4.5,-4.3
Mississippi,2009,6.4,31.8,100.4,142.6,-20.2,5,-2.1,-0.9
Mississippi,2010,7,31.2,93.7,137.8,8.9,-1.8,-6.8,-3.4
Mississippi,2011,8,29,83.7,149.1,14.5,-7,-10.7,8.2
Mississippi,2012,7.4,27.5,76.5,149.4,-8.1,-5.2,-8.5,0.2
Mississippi,2013,6.5,23.9,80.5,156.5,-11.5,-13.2,5.3,4.7
Mississippi,2014,8.6,25.5,81.2,153.4,32.2,6.8,0.8,-2
